name,address,building,built_year,floor_number,detail
ＪＲ山手線 池袋駅 2階建 築50年,東京都豊島区上池袋３,"{0: 'ＪＲ山手線/池袋駅 歩15分', 1: 'ＪＲ埼京線/板橋駅 歩6分', 2: '東武東上線/北池袋駅 歩6分'}",築50年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.2万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '14m'}}"
コーポカトレア,東京都小金井市東町３,"{0: 'ＪＲ中央線/東小金井駅 歩8分', 1: '西武多摩川線/新小金井駅 歩10分', 2: 'ＪＲ中央線/武蔵境駅 歩20分'}",築58年,2階建,"{0: {'floor': '2階', 'rent-fee': '3.8万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '14.6m'}}"
レディースビレッジヨシトモ,東京都八王子市明神町１,"{0: 'ＪＲ中央線/八王子駅 歩12分', 1: '京王線/京王八王子駅 歩7分', 2: None}",築54年,4階建,"{0: {'floor': '2階', 'rent-fee': '3.5万円', 'manage-fee': '3000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '20.25m'}}"
ラルゴ・サエグサ,東京都江戸川区平井６,"{0: 'ＪＲ総武線/平井駅 歩7分', 1: 'ＪＲ総武線/亀戸駅 歩22分', 2: '東武亀戸線/東あずま駅 歩15分'}",築59年,2階建,"{0: {'floor': '1階', 'rent-fee': '6万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '18m'}}"
都営新宿線 瑞江駅 2階建 築29年,東京都江戸川区鹿骨５,"{0: '都営新宿線/瑞江駅 歩37分', 1: '都営新宿線/篠崎駅 歩28分', 2: 'ＪＲ総武線/小岩駅 歩30分'}",築29年,2階建,"{0: {'floor': '1階', 'rent-fee': '4.2万円', 'manage-fee': '3000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '14.04m'}}"
コーポ清水,東京都小平市花小金井７,"{0: '西武新宿線/花小金井駅 歩19分', 1: '西武新宿線/小平駅 歩22分', 2: '西武多摩湖線/青梅街道駅 歩30分'}",築46年,3階建,"{0: {'floor': '3階', 'rent-fee': '4.8万円', 'manage-fee': '1500円', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '29.1m'}}"
第一柴田荘,東京都葛飾区新小岩３,"{0: 'ＪＲ総武線/新小岩駅 歩9分', 1: None, 2: None}",築56年,2階建,"{0: {'floor': '2階', 'rent-fee': '3万円', 'manage-fee': '1500円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '11m'}}"
東急大井町線 尾山台駅 2階建 築47年,東京都世田谷区玉堤２,"{0: '東急大井町線/尾山台駅 歩16分', 1: '東急大井町線/等々力駅 歩17分', 2: '東急東横線/田園調布駅 歩27分'}",築47年,2階建,"{0: {'floor': '2階', 'rent-fee': '5万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '23.9m'}}"
テラス　　フルヤ,東京都杉並区和田２,"{0: '東京メトロ丸ノ内線/東高円寺駅 歩10分', 1: '東京メトロ丸ノ内線/中野富士見町駅 歩14分', 2: '東京メトロ丸ノ内線/新中野駅 歩14分'}",築56年,3階建,"{0: {'floor': '2階', 'rent-fee': '5.3万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '16m'}}"
西武新宿線 野方駅 2階建 築57年,東京都中野区野方４,"{0: '西武新宿線/野方駅 歩9分', 1: '西武新宿線/沼袋駅 歩10分', 2: 'ＪＲ中央線/中野駅 歩26分'}",築57年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.3万円', 'manage-fee': '1000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '21.06m'}}"
